id,age,sex,bmi,site,program,baseline,math_score,event
77,28.0,1,21.8,4,tutoring,79.9,66.6,1
78,59.0,0,,1,tutoring,72.9,84.1,1
79,46.0,1,21.2,4,standard,55.6,64.4,0
80,35.0,1,19.6,1,tutoring,61.1,57.7,0
81,57.0,0,21.9,2,tutoring,59.4,69.4,1
82,48.0,0,30.5,1,tutoring,55.2,43.1,1
83,36.0,0,24.6,4,standard,67.4,58.6,0
84,37.0,0,21.8,1,tutoring,64.7,68.6,0
85,57.0,0,29.4,3,tutoring,85.7,96.3,0
86,44.0,0,24.6,2,standard,39.6,49.1,1
87,54.0,1,32.2,3,standard,69.4,62.9,1
88,54.0,1,,1,standard,59.6,47.3,0
89,41.0,1,24.4,4,standard,53.4,64.9,0
90,52.0,0,20.5,4,standard,63.7,74.9,0
91,62.0,0,25.1,3,standard,72.4,67.7,0
92,44.0,1,,1,standard,64.4,64.8,1
93,31.0,0,,3,tutoring,66.1,-10.814850758684258,1
94,55.0,0,26.9,3,tutoring,71.4,79.7,1
95,25.0,0,33.6,1,standard,48.6,,0
96,47.0,1,28.8,3,standard,52.6,43.4,1
97,56.0,1,31.5,2,tutoring,64.1,64.8,1
98,34.0,1,23.2,3,tutoring,55.6,63.1,0
99,25.0,1,16.8,2,tutoring,69.5,70.1,0
100,51.0,1,24.7,1,standard,68.7,69.5,0
101,22.0,1,21.6,2,standard,75.7,55.6,0
102,49.0,1,29.7,4,tutoring,48.0,64.8,1
103,40.0,1,28.8,2,standard,61.0,72.9,0
104,54.0,0,,4,standard,68.6,80.2,1
105,51.0,0,31.4,4,tutoring,55.2,72.1,0
106,43.0,0,25.1,3,standard,57.1,56.4,0
107,44.0,1,28.2,2,tutoring,79.1,78.2,0
108,52.0,0,,1,tutoring,55.4,70.8,1
109,46.0,0,31.7,2,tutoring,73.3,88.3,1
110,53.0,1,,1,standard,51.5,49.0,1
111,46.0,1,23.4,2,standard,54.3,60.2,0
112,35.0,0,24.2,4,tutoring,67.6,66.4,0
113,54.0,1,29.9,3,tutoring,71.3,91.2,1
114,47.0,1,20.6,2,tutoring,73.1,75.9,0
115,46.0,1,21.8,4,tutoring,82.6,83.8,0
116,47.0,0,24.6,3,tutoring,51.2,67.8,0
117,39.0,0,28.1,1,tutoring,73.5,,1
118,30.0,1,23.3,1,tutoring,93.0,83.0,1
119,54.0,1,24.8,2,standard,63.2,61.0,1
120,53.0,1,28.3,1,standard,59.0,49.2,1
121,56.0,1,,2,tutoring,66.6,,1
122,37.0,0,32.7,2,standard,69.9,,0
123,43.0,0,24.3,1,standard,82.2,71.7,0
124,54.0,1,27.3,2,tutoring,71.6,69.4,0
125,81.0,1,23.4,4,tutoring,45.3,71.3,1
126,60.0,1,,3,tutoring,61.1,63.5,1
127,49.0,1,19.1,3,tutoring,69.7,61.4,1
128,19.0,1,35.0,3,standard,19.1,28.1,1
129,41.0,0,,3,standard,59.9,59.7,1
130,28.0,0,23.2,4,standard,56.2,50.6,1
131,48.0,0,26.8,2,standard,64.2,65.9,0
132,53.0,1,23.6,2,tutoring,82.6,91.7,0
133,48.0,1,30.3,1,standard,56.0,62.1,0
134,50.0,1,23.6,2,standard,67.0,64.8,1
135,50.0,0,25.6,1,tutoring,78.5,55.9,1
136,69.0,1,,3,standard,61.2,61.3,1
137,36.0,1,22.4,2,tutoring,66.0,57.9,0
138,48.0,0,29.7,4,standard,66.7,67.2,1
139,40.0,0,23.4,1,standard,64.4,50.3,0
140,38.0,0,25.6,3,standard,55.9,51.3,1
141,32.0,0,26.1,3,standard,67.5,44.1,1
142,20.0,0,21.1,1,standard,80.4,,0
143,17.0,1,24.0,2,tutoring,25.4,51.0,0
144,45.0,1,20.8,4,standard,64.0,56.5,1
145,15.0,0,20.2,3,standard,47.4,,0
146,37.0,1,37.4,2,standard,55.5,,0
147,44.0,1,26.2,2,tutoring,60.7,63.7,1
148,44.0,0,29.1,2,standard,59.3,53.7,0
149,51.0,0,29.9,1,standard,79.2,76.0,1
150,54.0,0,21.4,3,standard,50.8,50.6,1
151,42.0,1,25.5,2,standard,67.0,66.7,0
152,46.0,0,26.7,3,tutoring,71.9,74.9,1
153,49.0,0,26.1,4,standard,57.7,76.9,0
154,66.0,0,30.0,4,standard,47.5,42.5,1
155,15.0,0,23.6,4,tutoring,56.7,59.8,0
156,81.0,1,21.9,3,standard,57.9,39.7,0
157,57.0,1,30.9,3,standard,55.7,64.7,1
158,52.0,0,22.4,2,standard,53.8,59.7,1
159,59.0,0,26.7,2,standard,43.2,40.7,1
160,41.0,1,28.7,3,tutoring,60.2,44.8,1
161,47.0,0,20.0,3,standard,53.7,65.9,1
162,26.0,0,27.2,2,standard,57.5,40.8,0
163,44.0,1,26.2,4,tutoring,56.1,,1
164,49.0,1,25.7,1,standard,37.2,49.8,1
165,46.0,0,,2,tutoring,58.2,46.3,1
166,42.0,1,28.0,4,tutoring,48.8,66.4,1
167,58.0,1,25.8,3,tutoring,91.4,76.8,0
168,54.0,1,24.4,4,tutoring,89.2,83.6,0
169,63.0,1,,2,standard,55.2,58.2,0
170,29.0,1,17.5,2,tutoring,67.5,66.9,1
171,38.0,1,28.1,3,standard,58.7,54.8,0
172,23.0,0,24.0,1,tutoring,38.3,49.2,1
173,15.0,0,21.4,2,standard,72.9,55.4,0
174,42.0,1,24.0,3,standard,64.5,74.5,1
175,45.0,1,23.2,4,standard,61.0,64.2,1
176,40.0,0,24.8,4,standard,70.7,63.6,0
177,63.0,0,22.9,3,tutoring,79.6,63.0,0
178,42.0,1,29.4,2,tutoring,86.5,94.1,1
179,53.0,1,34.3,3,standard,71.3,66.9,0
180,35.0,0,22.0,3,tutoring,75.4,86.8,0
181,55.0,0,24.0,2,tutoring,77.6,69.2,0
182,51.0,0,31.0,2,tutoring,69.1,65.8,1
183,42.0,0,26.3,4,tutoring,83.3,76.4,0
184,58.0,0,21.4,2,standard,65.5,59.9,0
185,33.0,1,,3,tutoring,62.7,60.7,0
186,56.0,1,21.6,2,tutoring,46.1,62.2,1
187,51.0,0,25.8,2,tutoring,65.1,69.4,1
188,27.0,0,33.1,3,tutoring,61.2,78.4,0
189,39.0,0,28.2,2,tutoring,63.4,62.3,0
190,56.0,0,23.5,1,tutoring,66.4,68.4,0
191,45.0,1,25.3,4,standard,35.4,50.6,0
192,36.0,1,30.7,1,standard,68.0,80.4,0
193,52.0,1,25.3,4,standard,51.4,53.5,0
194,51.0,0,31.6,1,standard,55.9,46.1,0
195,52.0,1,20.3,3,standard,35.3,35.0,1
196,29.0,1,29.3,2,standard,74.2,,1
197,43.0,1,24.8,2,standard,56.3,81.5,1
198,56.0,1,28.3,4,tutoring,63.8,51.5,1
199,45.0,1,30.8,1,tutoring,59.6,50.8,1
200,44.0,0,30.6,4,standard,77.3,,1
201,65.0,1,23.1,4,standard,54.3,71.5,1
202,80.0,0,33.9,4,standard,57.9,49.7,1
203,40.0,1,34.0,3,tutoring,71.5,75.8,1
204,44.0,1,24.5,4,tutoring,66.9,79.8,0
205,42.0,1,17.5,1,standard,70.6,71.7,0
206,51.0,1,21.7,1,standard,55.4,,1
207,34.0,0,27.2,3,standard,51.5,63.3,0
208,54.0,0,24.0,3,tutoring,49.7,57.6,1
209,81.0,1,22.2,3,tutoring,65.4,63.2,0
210,40.0,0,23.7,4,standard,56.0,46.7,0
211,27.0,1,24.2,2,standard,45.7,54.9,0
212,62.0,1,24.8,1,standard,70.9,80.9,1
